"Submission Date","Nombre del Instructor:","Agencia de Procedencia:","Criterios de evaluación: >> El instructor cumplió con los objetivos del curso. >> Excelente (4)","Criterios de evaluación: >> El instructor cumplió con los objetivos del curso. >> Bueno (3)","Criterios de evaluación: >> El instructor cumplió con los objetivos del curso. >> Regular (2)","Criterios de evaluación: >> El instructor cumplió con los objetivos del curso. >> Deficiente (1)","Criterios de evaluación: >> El instructor posee dominio de la materia.  >> Excelente (4)","Criterios de evaluación: >> El instructor posee dominio de la materia.  >> Bueno (3)","Criterios de evaluación: >> El instructor posee dominio de la materia.  >> Regular (2)","Criterios de evaluación: >> El instructor posee dominio de la materia.  >> Deficiente (1)","Criterios de evaluación: >> El instructor utilizó materiales y estrategias de enseñanza ... >> Excelente (4)","Criterios de evaluación: >> El instructor utilizó materiales y estrategias de enseñanza ... >> Bueno (3)","Criterios de evaluación: >> El instructor utilizó materiales y estrategias de enseñanza ... >> Regular (2)","Criterios de evaluación: >> El instructor utilizó materiales y estrategias de enseñanza ... >> Deficiente (1)","Criterios de evaluación: >> La información fue presentada en forma clara y organizada.  >> Excelente (4)","Criterios de evaluación: >> La información fue presentada en forma clara y organizada.  >> Bueno (3)","Criterios de evaluación: >> La información fue presentada en forma clara y organizada.  >> Regular (2)","Criterios de evaluación: >> La información fue presentada en forma clara y organizada.  >> Deficiente (1)","Criterios de evaluación: >> El instructor demostró disposición y buena actitud para acla... >> Excelente (4)","Criterios de evaluación: >> El instructor demostró disposición y buena actitud para acla... >> Bueno (3)","Criterios de evaluación: >> El instructor demostró disposición y buena actitud para acla... >> Regular (2)","Criterios de evaluación: >> El instructor demostró disposición y buena actitud para acla... >> Deficiente (1)","Criterios de evaluación: >> La condición del salón y las facilidades o el espacio virtua... >> Excelente (4)","Criterios de evaluación: >> La condición del salón y las facilidades o el espacio virtua... >> Bueno (3)","Criterios de evaluación: >> La condición del salón y las facilidades o el espacio virtua... >> Regular (2)","Criterios de evaluación: >> La condición del salón y las facilidades o el espacio virtua... >> Deficiente (1)","¿Considera que lo aprendido en esta actividad le ayudará en el desempeño de sus funciones y responsabilidades diarias en forma efectiva?","Explique:","¿Tomaría otros cursos con este instructor?","¿Qué otros cursos y/o adiestramientos le gustaría tomar a través de la Alianza con la Universidad dePuerto Rico?"
"2020-06-04 21:10:29","Dr. Edwin Morales","Departamento de la Vivienda","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-04 11:33:39","Dr. Edwin H. Morales Cortes","Departamento de la Vivienda","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","Me ayuda a entender que es el tele tarabajo y como debe ser evaluado","Sí","Mochila emocional  Inteligencia emocional"
"2020-06-04 07:30:06","Dr.Edwin Morales","Departamento de la Vivienda","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","","Bueno (3)","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-03 22:09:56","Dr.Edwin H Morales Cortes ","Departamento de la Vivienda","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","el curso nos brinda las estrategias y herramientas para poder enfrentar los retos de esta nueva modalidad de trabajo.","Sí",""
"2020-06-03 20:35:36","Edwin Morales","Departamento de la Vivienda","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Excelente (4)","","","","Excelente (4)","Bueno (3)","","","Sí","","Sí",""
"2020-06-03 19:39:47","Dr. Edwin Morales","Administración de Vivienda Pública","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-03 19:32:56","Dr. Edwin Morales","Dept De la Vivienda","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-03 18:57:21","Edwin Morales","Vivienda","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-03 18:47:17","Edwin Morales","Universidad de Puerto Rico, Recinto de Río Piedras","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí","Todo lo que sea necesario para el desarrollo laboral "
"2020-06-03 17:43:28","Dr. Edwin Morales","Departamento de la Vivienda","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-03 17:40:21","Dr. Edwin Morales","Vivienda","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-03 17:06:09","Dr. Edwin H. Morales Cortés","Departamento de la Vivienda","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí","Cualquier otro curso relacionado al tema del Trabajo a Distancia de manera que nos mantengamos enterados de los cambios y/o novedades que surjan."
"2020-06-03 16:54:33","Dr. Edwin Morales","Departamento de la Vivienda","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","Ciertamente.  La información ofrecida en el adiestramiento es de gran ayuda, para el desarrollo de estructuras e implementación del modelo de Teletrabajo.","Sí",""
"2020-06-03 16:50:19","Edwin Morales","Departamento de la Vivienda","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-03 16:27:50","Dr. Edwin Morales","Departamento de la Vivienda","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","Desde el comienzo de la cuarentena por el Covid19 las operaciones de mi División en el Departamento continuaron sin interrupción. Este curso me ha brindado información adicional y perspectiva sobre las ventajas y desventajas del teletrabajo.","Sí. El Profesor es muy claro y estructurado en su presentación de los temas lo que facilita el proceso de aprendizaje.","Manejo de Programas Federales"
"2020-06-03 15:42:59","Dr. Edwin Morales Cruz","Departamento de la Vivienda","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Sí","El Trabajo a distancia era desconocido para mi  y  en este adietramiento aprendi bastante del Tema","Continuar aprendiendo","Uso de la computadora  Cualquier tema Social"
"2020-06-03 15:33:28","Dr. Edwin Morales","Departamento de La Vivienda","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Sí","Si, porque habia muchas dudas y desconociento sobre teletrabajo y mediante esta orientacion ahora temenos un major panorama .","El instructor es muy bueno y demostro que tiene suficientes cononocimiento",""
"2020-06-03 15:30:15","Dr Edwin Morales","Departamento de la Vivienda","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","","Bueno (3)","","","Excelente (4)","","","","Excelente (4)","","","","Sí","Actualmente me encuetro trabajando de forma remota.","conocimiento del tema","Lenguaje de Señas Project Management"
"2020-06-03 15:28:46","Dr. Edwin Morales ","Departamento de la Vivienda ","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","","Bueno (3)","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-03 13:24:48","Dr Edwin Morales","Departamento de la Vivienda","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","Ciertamente.  La importancia de la organización, estructura, apertura, para el ejercio de prácticar el Teletrabajo es esencial.","Sí",""
"2020-06-03 13:22:27","Dr. Edwin Morales","Departamento de La Vivienda","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Sí","Si, porque aclaró muchas dudas que tenia sobre teletrabajo","Sí",""
"2020-06-03 12:41:58","Dr. Edwin Morales","Departamento de la Vivienda","Excelente (4)","","","","Excelente (4)","","","","","","Regular (2)","","Excelente (4)","","","","Excelente (4)","","","","","","Regular (2)","","Sí","Todo conocimiento adquirido ayuda en el desempeño laboral y personal","Sus presentaciones son claras y sencillas","Todos en los que tenga oportunidad"
"2020-06-03 12:22:52","Dr Ewin Morales","Departamento de la Vivienda","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","","Bueno (3)","","","Excelente (4)","","","","Excelente (4)","","","","Sí","Actualmente estoy trabajando de forma remota y tengo bajo supervision un grupo de empleados trabajando de la misma forma.","Conocimiento del tema","Lenguaje de Señas Project Management"
"2020-06-03 12:13:27","Dr Edwuin Morales","Departamento de la Vivienda","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","","Bueno (3)","","","Excelente (4)","","","","Excelente (4)","","","","Sí","Actualmente estoy trabajando de forma remota y tengo a mi cargo la supervision de un grupo de empleados trabajando de la misma manera.","Conoce el material","Lenguaje de Señas (Basico, Intermedio y Avanzado) Project Management"
"2020-06-03 11:49:55"," Dr. Edwin Morales","Departamento de la Vivienda","","Bueno (3)","","","Excelente (4)","","","","","Bueno (3)","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Sí","Me hace consciente de la realidad que afrontamos, y a ser más flexible con mis empleados y compañeros.","Sí",""
"2020-06-03 11:48:28","Edwin Morales","Departamento de la Vivienda","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
