"Submission Date","Agencia de Procedencia:","Nombre de los recursos:","Criterios de evaluación: >> El instructor cumplió con los objetivos del curso. >> Excelente (4)","Criterios de evaluación: >> El instructor cumplió con los objetivos del curso. >> Bueno (3)","Criterios de evaluación: >> El instructor cumplió con los objetivos del curso. >> Regular (2)","Criterios de evaluación: >> El instructor cumplió con los objetivos del curso. >> Deficiente (1)","Criterios de evaluación: >> El instructor posee dominio de la materia.  >> Excelente (4)","Criterios de evaluación: >> El instructor posee dominio de la materia.  >> Bueno (3)","Criterios de evaluación: >> El instructor posee dominio de la materia.  >> Regular (2)","Criterios de evaluación: >> El instructor posee dominio de la materia.  >> Deficiente (1)","Criterios de evaluación: >> El instructor utilizó materiales y estrategias de enseñanza ... >> Excelente (4)","Criterios de evaluación: >> El instructor utilizó materiales y estrategias de enseñanza ... >> Bueno (3)","Criterios de evaluación: >> El instructor utilizó materiales y estrategias de enseñanza ... >> Regular (2)","Criterios de evaluación: >> El instructor utilizó materiales y estrategias de enseñanza ... >> Deficiente (1)","Criterios de evaluación: >> La información fue presentada en forma clara y organizada.  >> Excelente (4)","Criterios de evaluación: >> La información fue presentada en forma clara y organizada.  >> Bueno (3)","Criterios de evaluación: >> La información fue presentada en forma clara y organizada.  >> Regular (2)","Criterios de evaluación: >> La información fue presentada en forma clara y organizada.  >> Deficiente (1)","Criterios de evaluación: >> El instructor demostró disposición y buena actitud para acla... >> Excelente (4)","Criterios de evaluación: >> El instructor demostró disposición y buena actitud para acla... >> Bueno (3)","Criterios de evaluación: >> El instructor demostró disposición y buena actitud para acla... >> Regular (2)","Criterios de evaluación: >> El instructor demostró disposición y buena actitud para acla... >> Deficiente (1)","Criterios de evaluación: >> La condición del salón y las facilidades o el espacio virtua... >> Excelente (4)","Criterios de evaluación: >> La condición del salón y las facilidades o el espacio virtua... >> Bueno (3)","Criterios de evaluación: >> La condición del salón y las facilidades o el espacio virtua... >> Regular (2)","Criterios de evaluación: >> La condición del salón y las facilidades o el espacio virtua... >> Deficiente (1)","¿Considera que lo aprendido en esta actividad le ayudará en el desempeño de sus funciones y responsabilidades diarias en forma efectiva?","Explique:","¿Tomaría otros cursos con este instructor?","¿Qué otros cursos y/o adiestramientos le gustaría tomar a través de la Alianza con la Universidad dePuerto Rico?"
"2020-06-30 10:38:49","Comisión Industrial","Dr. Miguel A. Arrieta Morales Prof. Eduardo Díaz Rivera Prof. Alfredo Calderón Serrano Prof. Norberto Cruz Córdoba","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","","","Regular (2)","","Sí","","Sí",""
"2020-06-29 08:32:40","Neg Serv 9-1-1","Dr. Moguel A. Arrieta Morales","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-26 19:40:58","OATRH","Miguel Arieta y Eduardo Díaz","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-26 12:01:48","Defensoria de las Personas con Impedimentos-DPI","Norberto Cruz, Dr. Arrieta","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-26 11:28:33","911","Miguel A. Arrieta Morales ","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Sí","En el futuro claro que si","explico de una manera muy sencilla","Los que me Propongan"
"2020-06-26 11:23:04","Comisión Industrial","Dr. Miguel A. Arrieta Morales Prof. Eduardo Díaz Rivera Prof. Alfredo Calderón Serrano Prof. Norberto Cruz Córdoba","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","","","Regular (2)","","Sí","","Sí",""
"2020-06-26 11:15:10","Departamento de Corrección y Rehabilitación","Dr. Miguel A. Arrieta Morales Prof. Eduardo Díaz Rivera Prof. Alfredo Calderón Serrano Prof. Norberto Cruz Córdoba","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","Es un cambio radical el nuevo entorno de trabajo y no se debe olvidar los valores solo por estar mas cómodos.","Sí",""
"2020-06-26 07:48:34","Comision Industrial de PR","Miguel A. Arrieta Morales, Eduardo Diaz Rivera, Alfredo Calderon Serrano y Norberto Cruz Cordoba","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-26 06:36:27","Negociado de Sistemas de Emergencias 9-1-1","Dr. Miguel Arrieta Morales, Ing. Eduardo Diaz","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí","Todos los que fueran necesarias para optimizar mis conocimientos en mi Agencia  "
"2020-06-25 17:27:48","Comision Industrial de Puerto Rico","Dr. Miguel Arrieta, Ing. Eduardo Diaz","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","No","La etica uno no la puede aprender se o no se es etico.","El ingeniero demostro un buen dominio de su area de especialidad. La evaluacion es sobre su desempeño no del desempeño del otro recurso.",""
