"Submission Date","Nombre del Instructor:","Agencia de Procedencia:","Criterios de evaluación: >> El instructor cumplió con los objetivos del curso. >> Excelente (4)","Criterios de evaluación: >> El instructor cumplió con los objetivos del curso. >> Bueno (3)","Criterios de evaluación: >> El instructor cumplió con los objetivos del curso. >> Regular (2)","Criterios de evaluación: >> El instructor cumplió con los objetivos del curso. >> Deficiente (1)","Criterios de evaluación: >> El instructor posee dominio de la materia.  >> Excelente (4)","Criterios de evaluación: >> El instructor posee dominio de la materia.  >> Bueno (3)","Criterios de evaluación: >> El instructor posee dominio de la materia.  >> Regular (2)","Criterios de evaluación: >> El instructor posee dominio de la materia.  >> Deficiente (1)","Criterios de evaluación: >> El instructor utilizó materiales y estrategias de enseñanza ... >> Excelente (4)","Criterios de evaluación: >> El instructor utilizó materiales y estrategias de enseñanza ... >> Bueno (3)","Criterios de evaluación: >> El instructor utilizó materiales y estrategias de enseñanza ... >> Regular (2)","Criterios de evaluación: >> El instructor utilizó materiales y estrategias de enseñanza ... >> Deficiente (1)","Criterios de evaluación: >> La información fue presentada en forma clara y organizada.  >> Excelente (4)","Criterios de evaluación: >> La información fue presentada en forma clara y organizada.  >> Bueno (3)","Criterios de evaluación: >> La información fue presentada en forma clara y organizada.  >> Regular (2)","Criterios de evaluación: >> La información fue presentada en forma clara y organizada.  >> Deficiente (1)","Criterios de evaluación: >> El instructor demostró disposición y buena actitud para acla... >> Excelente (4)","Criterios de evaluación: >> El instructor demostró disposición y buena actitud para acla... >> Bueno (3)","Criterios de evaluación: >> El instructor demostró disposición y buena actitud para acla... >> Regular (2)","Criterios de evaluación: >> El instructor demostró disposición y buena actitud para acla... >> Deficiente (1)","Criterios de evaluación: >> La condición del salón y las facilidades o el espacio virtua... >> Excelente (4)","Criterios de evaluación: >> La condición del salón y las facilidades o el espacio virtua... >> Bueno (3)","Criterios de evaluación: >> La condición del salón y las facilidades o el espacio virtua... >> Regular (2)","Criterios de evaluación: >> La condición del salón y las facilidades o el espacio virtua... >> Deficiente (1)","¿Considera que lo aprendido en esta actividad le ayudará en el desempeño de sus funciones y responsabilidades diarias en forma efectiva?","Explique:","¿Tomaría otros cursos con este instructor?","¿Qué otros cursos y/o adiestramientos le gustaría tomar a través de la Alianza con la Universidad dePuerto Rico?"
"2020-05-08 13:38:18","Sr. Julio Cotto","Oficina del Inspector General","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-05-08 12:41:37","Julio Cotto","Administración de Vivienda Pública","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Sí","","Sí",""
"2020-05-08 12:24:54","Julio Cotto Delgado","UPR","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Sí","Me ayuda con el manejo de tiempo.","Sí",""
"2020-05-08 12:06:04","Julio Cotto","OPP","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Sí","","Sí",""
"2020-05-08 12:04:57","Julio Cotto","Oficina Procurador del Paciente ","","Bueno (3)","","","","Bueno (3)","","","","Bueno (3)","","","","Bueno (3)","","","","Bueno (3)","","","","","","","Sí","","Sí","Todos los relacionados "
"2020-05-08 11:33:29","Julio Cotto Delgado","Vivienda","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","En la manera que explico la distribucion del Tiempo y las prioridades me ayuda en mi ambito personal y profesional. ","Sí",""
"2020-05-08 11:22:38","Julio","Administración de Vivienda Pública","","Bueno (3)","","","Excelente (4)","","","","","Bueno (3)","","","","Bueno (3)","","","Excelente (4)","","","","","","Regular (2)","","Sí","Enitendo que me va ayudar","Sí","Curso de Excel o Word"
"2020-05-08 11:09:17","Julio cotto","Administracion Industria Deporte Hipico ","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí","Cursos dirigidos a la administracion en entes gubernamentales"
"2020-05-08 10:59:59","Julio Cotto Delgado, Ph.D.","Universidad de Puerto Rico Recinto Humacao","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","","","","","","","","","Sí","No pude tomar el adiestramiento, ya que no pude accesar al mismo.  He repasado la Presentación Adiestramiento Virtual Manejo de la productividad y el tiempo, y me ayuda a seguir con las recomendaciones dadas por el instructor.","",""
"2020-05-08 10:55:09","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Sí","Estamos viviendo una realidad, nunca vivida y la actividad dio herramientas buenas","Es muy bueno","Cómo tener éxito a través de trabajo a distancia"
